,param_hidden_layer_sizes,param_activation,param_learning_rate_init,param_solver,param_alpha,mean_test_score,std_test_score
1,"(20,)",relu,0.01,adam,0.0001,0.5967741935483871,0.04883307022737891
58,"(30, 10)",relu,0.001,adam,1e-05,0.5967741935483871,0.0329232492309567
47,"(50,)",relu,0.01,adam,1e-05,0.5967741935483871,0.03192027442752128
59,"(30, 10)",relu,0.01,adam,1e-05,0.5967741935483871,0.047936974462707005
35,"(60, 5)",relu,0.01,adam,0.0001,0.5967741935483871,0.03695625560448258
29,"(50, 5)",relu,0.01,adam,0.0001,0.5967741935483871,0.042926665114707815
33,"(50, 20)",relu,0.01,adam,0.0001,0.5954301075268817,0.028858750744064375
9,"(60,)",relu,0.01,adam,0.0001,0.5954301075268817,0.037658402489574985
61,"(30, 20)",relu,0.01,adam,1e-05,0.5954301075268817,0.018281546382708916
8,"(60,)",relu,0.001,adam,0.0001,0.5954301075268817,0.03206145280074344
49,"(60,)",relu,0.01,adam,1e-05,0.5954301075268817,0.035280657925824424
36,"(60, 10)",relu,0.001,adam,0.0001,0.5940860215053764,0.05696134435595991
41,"(20,)",relu,0.01,adam,1e-05,0.5940860215053764,0.03346747203760412
25,"(40, 10)",relu,0.01,adam,0.0001,0.5940860215053764,0.03996255039601749
39,"(60, 20)",relu,0.01,adam,0.0001,0.592741935483871,0.04435483870967741
16,"(30, 5)",relu,0.001,adam,0.0001,0.592741935483871,0.010147626929127343
57,"(30, 5)",relu,0.01,adam,1e-05,0.5927419354838709,0.05052404873444221
48,"(60,)",relu,0.001,adam,1e-05,0.5927419354838709,0.02972223707996771
20,"(30, 20)",relu,0.001,adam,0.0001,0.5913978494623656,0.03005467711693266
21,"(30, 20)",relu,0.01,adam,0.0001,0.5913978494623656,0.011083617273165746
31,"(50, 10)",relu,0.01,adam,0.0001,0.5913978494623656,0.03504947529678844
45,"(40,)",relu,0.01,adam,1e-05,0.5913978494623656,0.03744190397092505
63,"(40, 5)",relu,0.01,adam,1e-05,0.5900537634408602,0.019431226202689486
60,"(30, 20)",relu,0.001,adam,1e-05,0.5887096774193549,0.03636491736147496
19,"(30, 10)",relu,0.01,adam,0.0001,0.5887096774193549,0.06281355615885979
70,"(50, 10)",relu,0.001,adam,1e-05,0.5873655913978495,0.014287830393460538
73,"(50, 20)",relu,0.01,adam,1e-05,0.5873655913978495,0.02103827398185284
23,"(40, 5)",relu,0.01,adam,0.0001,0.5860215053763441,0.021672735882522994
7,"(50,)",relu,0.01,adam,0.0001,0.5846774193548387,0.041839737678154264
30,"(50, 10)",relu,0.001,adam,0.0001,0.5846774193548387,0.02120931967481114
6,"(50,)",relu,0.001,adam,0.0001,0.581989247311828,0.032061452800743476
52,"(20, 10)",relu,0.001,adam,1e-05,0.5806451612903226,0.020295253858254717
46,"(50,)",relu,0.001,adam,1e-05,0.5806451612903225,0.03389655971214651
55,"(20, 20)",relu,0.01,adam,1e-05,0.5793010752688171,0.024820141549219615
15,"(20, 20)",relu,0.01,adam,0.0001,0.5779569892473119,0.03715127677711091
53,"(20, 10)",relu,0.01,adam,1e-05,0.5779569892473119,0.04233337566673017
24,"(40, 10)",relu,0.001,adam,0.0001,0.5779569892473119,0.053426362672988684
64,"(40, 10)",relu,0.001,adam,1e-05,0.5752688172043011,0.04309467618785323
12,"(20, 10)",relu,0.001,adam,0.0001,0.575268817204301,0.025784040447917874
11,"(20, 5)",relu,0.01,adam,0.0001,0.5739247311827957,0.03528065792582444
54,"(20, 20)",relu,0.001,adam,1e-05,0.5739247311827956,0.019981275198008776
10,"(20, 5)",relu,0.001,adam,0.0001,0.5725806451612904,0.03357525805590539
13,"(20, 10)",relu,0.01,adam,0.0001,0.5725806451612904,0.044171173992352104
50,"(20, 5)",relu,0.001,adam,1e-05,0.5712365591397849,0.027709043182914405
0,"(20,)",relu,0.001,adam,0.0001,0.5672043010752689,0.05007509680160526
40,"(20,)",relu,0.001,adam,1e-05,0.5658602150537635,0.04096707165088219
14,"(20, 20)",relu,0.001,adam,0.0001,0.5645161290322581,0.013169299692382713
